Marquee	Easting,Northing_1	Easting,Northing_2	Easting,Northing_3	Easting,Northing_4
Toilets 4	476046.0341,137637.5352	476047.4107,137635.5692	476042.4958,137632.1277	476041.1192,137634.0937
Toilets 5	476089.2773,137663.6248	476091.9736,137664.94	476089.3434,137670.3327	476086.647,137669.0176
Toilets 6	476092.8724,137665.3783	476095.5688,137666.6934	476092.9386,137672.0862	476090.2422,137670.7711
Toilets 7	476273.5919,137858.482	476275.767,137857.4677	476272.7241,137850.9423	476270.549,137851.9566
Toilets 3x15	476086.6566,137520.3975	476089.2546,137521.8975	476096.7546,137508.9071	476094.1566,137507.4071
Toilets 6x24 1	476002.6188,137435.829	475997.0557,137433.5813	476006.0463,137411.3289	476011.6094,137413.5765
Toilets 6x24 2	476012.1713,137412.1858	476006.6082,137409.9381	476015.5987,137387.6857	476021.1618,137389.9334
Toilets 6x24 3	476041.016,137340.7926	476035.4529,137338.545	476044.4434,137316.2926	476050.0065,137318.5402
Toilets 6x24 4	476180.0172,137303.882	476185.2133,137306.882	476197.2133,137286.0974	476192.0172,137283.0974
Toilets 6x24 5	476186.037,137317.1725	476189.037,137311.9764	476168.2524,137299.9764	476165.2524,137305.1725
Toilets 6x24 6	476263.8561,137682.387	476275.8561,137661.6024	476270.6599,137658.6024	476258.6599,137679.387
Toilets 6x24 7	476278.854,137656.4051	476290.854,137635.6205	476285.6578,137632.6205	476273.6578,137653.4051
Toilets 6x24 8	476291.354,137634.7544	476303.354,137613.9698	476298.1578,137610.9698	476286.1578,137631.7544
Toilets 6x24 9	476318.3682,137587.9644	476330.3682,137567.1798	476325.172,137564.1798	476313.172,137584.9644
Toilets 6x24 10	476393.9328,137728.9521	476405.9328,137708.1675	476400.7367,137705.1675	476388.7367,137725.9521
Toilets 6x24 11	476421.5643,137681.093	476433.5643,137660.3084	476428.3681,137657.3084	476416.3681,137678.093
Transport Office 3x6 1	476092.8286,137678.9627	476094.1437,137676.2663	476099.5365,137678.8965	476098.2214,137681.5929
Transport Office 3x6 2	476094.3629,137675.8169	476095.678,137673.1205	476101.0708,137675.7507	476099.7557,137678.4471
Tuck Shop 6x15 1	476227.7401,137644.5905	476280.7169,137616.4222	476271.3275,137598.7632	476218.3507,137626.9315
Tuck Shop 6x15 2	476248.8253,137646.9701	476262.0695,137639.928	476259.2527,137634.6303	476246.0085,137641.6724
VOI 6x6	476125.8876,137598.5649	476122.8876,137603.7611	476128.0837,137606.7611	476131.0837,137601.5649
Waiting Area 9x30	476082.2331,137238.9716	476093.4713,137211.156	476085.1267,137207.7846	476073.8885,137235.6001
Waste Collection 3x9	476218.1564,137708.5412	476219.6564,137705.9431	476211.8622,137701.4431	476210.3622,137704.0412
Water Nizmat Accom 6x6	475690.0731,137706.7239	475689.0312,137700.8151	475683.1224,137701.857	475684.1643,137707.7658
Workers Dining 12x27	476355.0368,137570.4526	476368.5368,137547.0699	476358.1445,137541.0699	476344.6445,137564.4526
Workers' Accommodation 12x24	476067.4323,137319.5504	476071.9276,137308.4242	476094.18,137317.4148	476089.6847,137328.541
Workers' Dining 12x24	476078.2959,137292.6621	476082.7912,137281.5359	476105.0436,137290.5264	476100.5483,137301.6526
